dataset,datim_dataelement,shortname,code,dataelement,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",sngMFN7RcpA,sngMFN7RcpA,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",FjlWpZOiiVe,FjlWpZOiiVe,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",CZ415isN4uy,CZ415isN4uy,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",VMFXDuPUnle,VMFXDuPUnle,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",GoVtskXsXKD,GoVtskXsXKD,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",K7Ffr88hhS9,K7Ffr88hhS9,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"25-29, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",k2enXrGa8VW,k2enXrGa8VW,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",ZLqwxAM0rDn,ZLqwxAM0rDn,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",O7xahbUykIN,O7xahbUykIN,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",nFHijHYOiFf,nFHijHYOiFf,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",qCdsItcY74z,qCdsItcY74z,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",A5ZynNvhUDV,A5ZynNvhUDV,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",Z1hcjaGpO6K,Z1hcjaGpO6K,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",jOR5rU9TYGG,jOR5rU9TYGG,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",t0IwpUkLkGM,t0IwpUkLkGM,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"30-34, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",kjvs5J91QcC,kjvs5J91QcC,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",k6PpW7YsDek,k6PpW7YsDek,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",t30vaBv4cPu,t30vaBv4cPu,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",E37hIruafwo,E37hIruafwo,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",bVHZsQ5sRVW,bVHZsQ5sRVW,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",EOApxnyxjoc,EOApxnyxjoc,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",vLq8YKvqDbp,vLq8YKvqDbp,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",HX35vqO1f3E,HX35vqO1f3E,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",LgCOj27YSpe,LgCOj27YSpe,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"35-39, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",Y9JgrYelt0l,Y9JgrYelt0l,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",Rs8GH9wo2Iq,Rs8GH9wo2Iq,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",lGLhiwNxWOk,lGLhiwNxWOk,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",bbH8Y4ejXSr,bbH8Y4ejXSr,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",iZ1DRSA1Xp2,iZ1DRSA1Xp2,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",vyW7KqMh0Vs,vyW7KqMh0Vs,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",s6iPDjEQkNt,s6iPDjEQkNt,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",Ma9L6Ba4Z8j,Ma9L6Ba4Z8j,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",GNWG6EWNQw2,GNWG6EWNQw2,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"40-44, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",PUsVhs5LOLd,PUsVhs5LOLd,,,
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,,XboLlTkc4Av,Number of HIV-positive women on ART screened for cervical cancer,"45-49, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",dyxvzwmNPGZ,dyxvzwmNPGZ,,,
